category,question,reference_answer,support_context_segment,Support_context_segment:
event,Where is the Art and Science of Rafael Lucas Rodríguez Caballero exhibition located?,"Hunt Institute for Botanical Documentation, 5th Floor, Hunt Library","Location: Hunt Institute for Botanical Documentation, 5th Floor, Hunt Library",
event,What is the Bikes & Brews Tour in Pittsburgh?,"A bike tour that includes historical facts, beer-making information, and beer samples from the stops along the route.","Bike the Burgh tour packed with lots of history, facts about beer making, and beer samples from each of the places we stop at.",
event,"What event is happening at Thunderbird Cafe on November 22, 2025?",Tauk,### [Event Name]: Tauk [...] **Location:** Thunderbird Cafe,
event,"Who is performing at Carnegie of Homestead Music Hall on November 22, 2025?",Jimmy Failla,### [Event Name]: Jimmy Failla [...] **Location:** Carnegie of Homestead Music Hall,
food,Which benefits do sponsors receive as part of Pittsburgh Restaurant Week? (Select all that apply),"['Logo and link in sponsors section of the Pittsburgh Restaurant Week Official Website', 'Name placement on all Pittsburgh Restaurant Week promotional posters', 'Two tickets to a PRW event', 'Banner signage at the Kickoff Party, Blogger Dinner, Wrap-Party or other special events', 'Mentions on Social Media pages', 'Spotlights in e-mail newsletter promoting a service, product, or exclusive deal', 'Banner ads on high-traffic pages on www.pittsburghrestaurantweek.com']","Sponsorship offers a range of program benefits including:

- Logo and link in sponsors section of the Pittsburgh Restaurant Week Official Website
- Name placement on all Pittsburgh Restaurant Week promotional posters
- Two tickets to a PRW event.
- Banner signage at the Kickoff Party, Blogger Dinner, - Wrap-Party or other special events held for Pittsburgh Restaurant Week
- Mentions on Social Media pages:
Facebook – www.facebook.com/PghRestaurantWk
Twitter – www.twitter.com/PghRestaurantWk
- Spotlights in e-mail newsletter promoting a service, product, or exclusive deal to all participant contacts.
- Banner ads on high-traffic pages on www.pittsburghrestaurantweek.com",
food,What is the cost to participate in the pickle-themed carnival games at Li’l Gherkins KidsPlay?,$2 per play,The pickle themed carnival games are $2 per play. Carnival game tickets can be purchased onsite- no reservation necessary.,
food,Which company is listed as the 2025 Band Sponsor for Picklesburgh?,The PA Lottery,"2025 Band Sponsor

The PA Lottery supports programs all around Pennsylvania that benefit older Pennsylvanians. https://www.palottery.pa.gov/",
food,Who is the 2025 Presenting Partner for the Pickle Riding event at Picklesburgh?,Pella Windows & Doors,"2025 Presenting Partner – Pickle Riding

Pella Windows & Doors are rated #1 by homeowners in Pittsburgh as a window brand that pays attention to detail. www.pella.com/pittsburgh",
food,Where does the 5k Banana Run start and finish?,Memorial Drive to Stadium Track,"↑ START – Memorial Dr
...
↑ STRAIGHT – onto the TRACK to the FINISH",
food,When is the 5k Banana Run scheduled?,"Saturday, August 22, 2025","Saturday, August 22, 2025
Registration at 7am, Kickoff at 9am
Latrobe Memorial Stadium",
food,What is the pricing theme for Pittsburgh Restaurant Week in 2025?,The pricing theme is '25-cents' for 2025.,"With such a wide variety of establishments participating, a one-size-fits all pricing model doesn’t make sense, so Pittsburgh Restaurant Week has themed pricing of “25-cents” for 2025.",
food,When did Pittsburgh Restaurant Week start?,It started in 2012.,"Pittsburgh Restaurant Week is a celebration of restaurants and dining in the steel city. Started in 2012, it’s been an annual tradition to host a winter edition in January and summer edition in August.",
food,What are the different admission options and their prices for The Original Pittsburgh Taco Festival?,"['General Admission - $17.20', 'Festival Fan Silver Package - $32.62', 'Taco Lover’s Gold Package - $53.47']","Admission
General Admission - $17.20
Festival Fan Silver Package - $32.62
Taco Lover’s Gold Package - $53.47
Exclusive features of the event will vary depending on the type of admission.",
food,What kind of music and dance activities are featured at The Original Pittsburgh Taco Festival?,Mariachi performances and salsa dancing lessons,Tap your feet to infectious beats as mariachi performers cultivate a lively ambience during the festival. Elevate your taco-trying experience with a salsa dancing lesson and move through high-energy rhythms.,
food,What is the address of the Pittsburgh Taco Festival venue?,"2875 Railroad St, Pittsburgh, PA 15222","2875 Railroad St, Pittsburgh, PA 15222",
food,When is the Soul Food Festival in Pittsburgh scheduled for 2025?,"August 29 - 31, 2025","**Dates:** August 29 - 31, 2025",
food,How much does it cost to attend Picklesburgh?,Admission is free,Admission is always free – no tickets are necessary!,
food,What are the festival hours for Picklesburgh on Friday and Saturday?,Noon – 10 p.m.,Friday & Saturday: Noon – 10 p.m.,
food,How much is general admission to The Original Pittsburgh Taco Festival?,$17.20 ,**General Admission -** $17.20,
food,When is The Original Pittsburgh Taco Festival scheduled for 2025?,6-Sep-25,"### Date

September 6, 2025",
food,In which year was Pittsburgh’s Soul Food Festival established?,2019,"Established in 2019, this festival honors Pittsburgh's rich history of food service pioneers and entrepreneurs",
food,Where is the Soul Food Festival held in Pittsburgh?,Stanwix Street and Liberty Avenue in Downtown Pittsburgh,**Location:** Stanwix Street and Liberty Avenue in Downtown Pittsburgh,
food,What is the official dessert of Pennsylvania?,the Banana Split,"Today, the Banana Split remains a beloved dessert across the United States and is often found on the menus of ice cream shops and restaurants. It is also the official dessert of Pennsylvania!",
food,Where is Picklesburgh held in Pittsburgh?,"Downtown Pittsburgh, including 6th and 7th Street Bridges, Allegheny Landing, Fort Duquesne Boulevard, PPG Plaza, Market Square, 6th Street and Heinz Hall Garden","Locations: 6th and 7th Street Bridges, Allegheny Landing, Fort Duquesne Boulevard, PPG Plaza, Market Square, 6th Street and Heinz Hall Garden",
food,When is Pittsburgh Restaurant Week Summer 2025 scheduled?,"August 11-17, 2025",Pittsburgh Restaurant Week Summer 2025 • August 11-17,
food,What event in 2004 commemorated the 100th anniversary of the Banana Split?,the 'From Pitt Came the Split' Event,"In 2004, on the 100th anniversary of the Banana Split, “Ice-Cream Joe” Greubel worked with the University of Pitt to commemorate Strickler’s invention with the “From Pitt Came the Split” Event.",
food,In which month has Little Italy Days been held since 2013?,August,"Previously, the event was always held in September, since 2013 it has mooved to August.",
food,What is included in the Little Italy Days VIP Experience?,"1 Little Italy Days T-Shirt, 1 Slice of Pizza from Caliente Pizza, 1 Bottle of water, VIP Restroom Access, Access to VIP tent for seating near main stage and to relax with shelter from the sun.","VIP Experience Includes:
- 1 Little Italy Days T-Shirt
- 1 Slice of Pizza from Caliente Pizza
- 1 Bottle of water
- VIP Restroom Access
- Access to VIP tent for seating near main stage and to relax with shelter from the sun.",
food,Do contestants need to be of Italian heritage to participate in the Miss Little Italy Pageant?,"No, contestants do not need to be of Italian heritage or reside in the city of Pittsburgh.",Contestants DO NOT need to be of Italian heritage or reside in the city of Pittsburgh.,
food,What is the Miss Little Italy Pageant?,"The Miss Little Italy is a family-oriented festival pageant, celebrating a special Bloomfield tradition.","The Miss Little Italy is a family-oriented festival pageant, celebrating a special Bloomfield tradition.",
food,What is the genre of Bjorn Jacobsen with Robin Chambers’ performance?,Delta Gypsygrass,6:00 p.m.| Bjorn Jacobsen with Robin Chambers | Delta Gypsygrass,
food,"Which artist performs at 12:00 p.m. on Sunday, July 13 at Picklesburgh?",Mark Ferrari,12:00 p.m.| Mark Ferrari | Acoustic Rock,
food,Are bicycles allowed on Liberty Avenue during the festival?,"On Saturday & Sunday Liberty Ave will be open only to pedestrians, but bike parking will be available at both ends of the festival.","On Saturday & Sunday Liberty Ave will be open only to pedestrians, but biking is a great way to get to the festival and avoid the hassle of parking. Bike parking will be available at both ends of the festival – at Liberty & Aspen and Liberty & Taylor.",
food,When is Picklesburgh 2025 scheduled to take place?,"Friday, July 11 – Sunday, July 13, 2025","Friday, July 11 – Sunday, July 13, 2025",
food,Where can attendees find real-time parking information for Picklesburgh?,https://parkpgh.org/,Real-time parking availability all around Downtown: https://parkpgh.org/,
general_info,Which company provides electricity to Pittsburgh and who founded it?,"Duquesne Light, founded by George Westinghouse in 1912","The city is served by Duquesne Light, one of the original 1912 power companies founded by George Westinghouse.",
general_info,Where does Carnegie Mellon University have campuses?,"Carnegie Mellon University has campuses in Pittsburgh, Silicon Valley, Qatar, and Africa.","Carnegie Mellon University has campuses in Pittsburgh, Silicon Valley, Qatar, and Africa.",
general_info,Which organizations provide water service to Pittsburgh?,Pittsburgh Water and Sewer Authority and Pennsylvania American Water,Water service is provided by the Pittsburgh Water and Sewer Authority and Pennsylvania American Water.,
general_info,What benefit does the Arts Pass provide to Carnegie Mellon students?,"Free access to renowned museums and attractions with your CMU ID, from the Andy Warhol Museum to the National Aviary","Arts Pass
Unlock free access to renowned museums and attractions with your CMU ID, from the Andy Warhol Museum to the National Aviary.",
general_info,What percentage of Pittsburgh's population identified as Protestant in 2014?,42%,"According to a 2014 study by the Pew Research Center, 78% of the population of the city identified themselves as Christians, with 42% professing attendance at a variety of churches that could be considered Protestant, and 32% professing Catholic beliefs.",
general_info,Which colleges and schools are part of Carnegie Mellon University?,"College of Engineering, College of Fine Arts, Dietrich College of Humanities & Social Science, Heinz College of Information Systems and Public Policy, Mellon College of Science, School of Computer Science, Tepper School of Business","Conduct revolutionary research with CMU faculty across our seven colleges and schools. Drive technological and cultural transformation in fields ranging from AI and robotics to the arts and public policy.

College of Engineering
College of Fine Arts
Dietrich College of Humanities & Social Science
Heinz College of Information Systems and Public Policy
Mellon College of Science
School of Computer Science
Tepper School of Business",
general_info,Where does Robert Morris University play its Division I college hockey games?,Island Sports Center,Robert Morris University fields a Division I college hockey team at the Island Sports Center.,
general_info,How many Nobel Laureates are associated with Carnegie Mellon University?,21,"Presented to CMU faculty and alumni in the fields of Chemistry, Economic Sciences, Peace, Physics and Physiology or Medicine.",
general_info,Who served as the ninth president of Carnegie Mellon University from 2013 to 2017?,Subra Suresh,"Subra Suresh served as the ninth president of Carnegie Mellon University from July 1, 2013 until June 30, 2017.",
general_info,What unique distinction does Subra Suresh hold among university presidents?,"He is the first and only university president elected to three major National Academies: the National Academy of Medicine, the National Academy of Sciences, and the National Academy of Engineering.","A distinguished engineer and scientist, Suresh was the first and only university president to be elected to three major National Academies — the National Academy of Medicine, the National Academy of Sciences and the National Academy of Engineering.",
general_info,What are some annual traditions and activities at Carnegie Mellon University?,"Annual traditions and activities at CMU include Sweepstakes, Scotty Saturday, Greek Sing, the FAIR and Winter FAIR, and performances by the Kiltie Band.",Sweepstakes: CMU students build and race aerodynamic buggies. Scotty Saturday: a daylong celebration with CMU-themed activities. Greek Sing: fraternities and sororities perform musicals for charity. The FAIR and Winter FAIR: explore student organizations and outdoor recreation. Kiltie Band: performs at CMU sporting events.,
general_info,What are some annual traditions and activities at Carnegie Mellon University?,"Annual traditions and activities at CMU include Sweepstakes, Scotty Saturday, Greek Sing, the FAIR and Winter FAIR, and performances by the Kiltie Band.",Sweepstakes: CMU students build and race aerodynamic buggies. Scotty Saturday: a daylong celebration with CMU-themed activities. Greek Sing: fraternities and sororities perform musicals for charity. The FAIR and Winter FAIR: explore student organizations and outdoor recreation. Kiltie Band: performs at CMU sporting events.,
general_info,When were the first and second tranches of American Rescue Plan funds received by the City of Pittsburgh?,June 2021 and June 2022,,
general_info,How long will no appeal operate to suspend the accrual of penalty and interest from the date the tax was due to the date it is actually paid?,Until the tax is actually paid.,,
general_info,Who is the current president of Carnegie Mellon University?,Farnam Jahanian,"Farnam Jahanian, President of Carnegie Mellon University, Henry L. Hillman President's Chair.",
general_info,When did William Trent begin construction of the first European habitation at present-day Pittsburgh?,"February 17, 1754.","On February 17, 1754, trent began construction of the fort, the first European habitation at the site of present-day pittsburgh.",
general_info,What was the name of the fort constructed by the French after destroying the British fort at the forks of the Ohio?,Fort Duquesne.,the french tore down the british fortification and constructed fort duquesne.,
general_info,What was Pittsburgh's population in 2010?,"307,484","2010 307,484 61 1,733,853 (ranked 27th, between san antonio and sacramento)",
general_info,What major technology companies have moved to Pittsburgh in recent years?,"Tech giants such as Apple, Google, IBM Watson, Facebook, and Intel have joined the 1,600 technology firms choosing to operate out of Pittsburgh.","Meanwhile, tech giants such as apple, google, ibm watson, facebook, and intel have joined the 1,600 technology firms choosing to operate out of pittsburgh.",
general_info,Where was Shannopin's town located and when was it established?,"Shannopin's town was a Lenape village on the east bank of the Allegheny and was established in the 1720s, roughly where Penn Avenue is today, between 30th and 39th streets. It was deserted after 1758.","shannopin's town, a lenape (delaware) village on the east bank of the allegheny, was established in the 1720s and was deserted after 1758. the village is believed to have been roughly from where penn avenue is today, below the mouth of two mile run, from 30th street to 39th street.",
general_info,When was Carnegie Mellon University founded?,Carnegie Mellon University was founded in 1900.,Carnegie Mellon University was established in 1900 by Andrew Carnegie.,
general_info,When did the production of steel begin in Pittsburgh?,Production of steel began in 1875.,production of steel began in 1875.,
general_info,Who was a prominent reformer in Pittsburgh's food industry during the late 19th century?,"Henry J. Heinz, founder of the H.J. Heinz Company, was a prominent reformer in the food industry, advocating for food purity and better working conditions.","During the mid-19th century, Pittsburgh witnessed a dramatic influx of German immigrants, including a brick mason whose son, Henry J. Heinz, founded the H.J. Heinz Company in 1869. Heinz was at the forefront of reform efforts to improve food purity, working conditions, hours, and wages, but the company bitterly opposed the formation of an independent labor union.",
general_info,What significant labor conflict occurred in Pittsburgh in 1877?,"The Pittsburgh Railway Riots of 1877 resulted in the deaths of 40 men, mostly workers, and the destruction of over 100 train engines and 1,000 railcars.","During the great railroad strike of 1877, Pittsburgh workers protested and had massive demonstrations that erupted into widespread violence, known as the Pittsburgh railway riots. Militia and federal troops were called to the city to suppress the strike. Forty men died, most of them workers, and more than 40 buildings were burned down, including the union depot of the pennsylvania railroad. Strikers also burned and destroyed rolling stock: more than 100 train engines and 1000 railcars were destroyed. It was the city with the most violence of any affected by the strikes. Burning of pennsylvania railroad and union depot, pittsburgh, july 21–22, 1877",
general_info,What is the local dialect of Pittsburgh commonly called?,Pittsburghese,"The Pittsburgh English dialect, commonly called Pittsburghese, was influenced by Scots-Irish, German, and Eastern European immigrants and African Americans.",
general_info,What factors contributed to the decline of the U.S. steel industry in the 1970s and 1980s?,"Increasing foreign competition, inexpensive American mini-mills, recessions, the 1973 oil crisis, and increasing use of other materials","During the 1970s and 1980s, the U.S. steel industry came under increasing pressure from foreign competition and from American mini-mills constructed inexpensively using salvaged steel. Manufacture in Germany and Japan was booming. Foreign mills and factories, built with the latest technology, benefited from lower labor costs and powerful government-corporate partnerships, allowing them to capture increasing market shares of steel and steel products. Separately, demand for steel softened due to recessions, the 1973 oil crisis, and increasing use of other materials.",
general_info,What report marked the beginning of the steel industry's decline era in 1974?,"""Building on Basics"" by the RIDC","The era began with the RIDC's ""Building on Basics"" report in 1974.",
general_info,Which professional major league sports teams are based in Pittsburgh?,"Pittsburgh Pirates, Pittsburgh Steelers, Pittsburgh Penguins",,
general_info,"What are Carnegie Mellon University's global ranking, U.S. ranking, and rankings in AI and Computer Science?","CMU is ranked among the top 25 universities in the world, #20 in the U.S., #1 in AI, and #2 in Computer Science in the U.S.",We are ranked one of the top 25 universities in the world by Times Higher Education and #20 in the U.S. by U.S. News & World Report. CMU holds the #1 artificial intelligence program and the #2 computer science program in the U.S.,
general_info,When was the Hanger Fort founded?,The Hanger Fort was founded in 1754.,the 'hanger' fort (literally in french: 'storehouse') (a blockhouse) site on redstone creek founded in 1754 on the ford;,
music&art,Who is the Principal of the Flute section?,Jackman Pfouts,Principal | Jackman Pfouts Flute Chair+,
music&art,Who is the Music Director of the Pittsburgh Symphony Orchestra for the 2025–2026 season?,Manfred Honeck,,
music&art,Where can ticket holders find guaranteed prepaid parking near Heinz Hall?,Sixth & Penn garage across from Heinz Hall,Guaranteed prepaid parking is available to all ticket holders in the Sixth & Penn garage across from Heinz Hall.,
music&art,When is the final payment due for a group order at Heinz Hall?,One month prior to the concert date,"Final payment is due one month prior to the concert date. If the performance is within one month, please contact us for special arrangements.",
music&art,How can you make a group reservation for a Pittsburgh Symphony Orchestra performance?,Call 412.392.4900 or email group_sales@pittsburghsymphony.org,"To order your tickets, please call 412.392.4900 or email group_sales@pittsburghsymphony.org.",
music&art,Which restaurants offer exclusive subscriber dining discounts for PSO members as of September 2023?,"['Fl. 2 at Fairmont Pittsburgh', 'Braddock’s Rebellion inside the Renaissance Hotel', 'Vallozzi’s', 'Sultan Döner Gyro', 'Space Bar', ""Redbeard's on Sixth"", 'Talia']",,
music&art,What is the 'free-flow' screening system at Heinz Hall?,A system that allows patrons to simply walk through unimpeded without removing coats or bags; cell phones and keys can remain in pockets.,Heinz Hall selected a “free-flow” system which allows patrons to simply walk through unimpeded. There is no need to remove coats or bags; cell phones and keys can remain in your pockets.,
music&art,What are the Heinz Hall Box Office hours for purchasing tickets?,"Monday - Friday, 9 am - 6 PM, Saturday 12 pm - 4 pm","The Heinz Hall Box Office hours are Monday - Friday, 9 am - 6 PM, Saturday 12 pm - 4 pm.",
music&art,Who is the Principal of the First Violin section in the Pittsburgh Symphony Orchestra?,David McCarroll,David McCarroll | Concertmaster | Rachel Mellon Walton Chair,
music&art,What is the minimum number of people required to receive a group discount at Heinz Hall?,10,"To receive the group discount, you must have a group of 10 or more for any BNY Classics, PNC Pops, Highmark Holiday Pops, Fiddlesticks Family Concerts or PSO Disrupt performances.*",
music&art,What is the mission of the Heinz History Center?,"To engage and inspire audiences through programs that connect the past, present, and future by preserving regional history and presenting the American experience with a Western Pennsylvania connection.","Our mission is to engage and inspire large and diverse audiences through programs that enable links to the past, understanding in the present, and guidance for the future by preserving regional history and presenting the American experience with a Western Pennsylvania connection.",
music&art,How can visitors support the Heinz History Center?,"Through fundraising events, commemorative gifts, planned giving, artifact donations, and matching gifts from employers.","Visitors can help sustain the legacy of the History Center in a variety of ways, including fundraising events, commemorative gifts, planned giving, artifact donations, and employer matching gift programs.",
music&art,What is the name of the event taking place at the Heinz History Center on October 16?,Hidden History Trivia Night.,,
music&art,Which Pittsburgh museum focuses on contemporary Jewish art?,American Jewish Museum,"American Jewish Museum, located in Squirrel Hill, features contemporary Jewish art.",
music&art,On which days is The Frick Pittsburgh closed?,"Monday, New Year's Day, Easter, Memorial Day, Juneteenth, Independence Day, Labor Day, Indigenous Peoples' Day, Thanksgiving Day, Christmas Eve, Christmas Day","Monday Closed Closed for New Year's Day, Easter, Memorial Day, Juneteenth, Independence Day, Labor Day, Indigenous Peoples' Day, Thanksgiving Day, Christmas Eve, Christmas Day",
music&art,Is admission to the gardens and permanent collection of The Frick Art Museum free?,Yes,"Admission to the gardens, permanent collection of The Frick Art Museum, and a section of the Car and Carriage Museum is always free.",
music&art,Who supports Pittsburgh Opera’s education programs?,Allegheny Regional Assets District and the Pennsylvania Council on the Arts.,Pittsburgh Opera programs are generously supported by Allegheny Regional Assets District and the Pennsylvania Council on the Arts.,
music&art,What is required for most Pittsburgh Opera education programs?,Registration in advance.,Please note: Most programs require registration in advance.,
music&art,Who should be contacted for more information about Pittsburgh Opera’s Education Programs?,"Marilyn Michalka Egan, Ph.D., Director of Education.","For more information about Pittsburgh Opera’s Education Programs, please email Marilyn Michalka Egan, Ph.D., Director of Education.",
music&art,Where is the Fort Pitt Museum located and what does it present?,"Located in historic Point State Park in Downtown Pittsburgh; presents the story of Western Pennsylvania during the French & Indian War, the American Revolution, and as the birthplace of Pittsburgh.","The Fort Pitt Museum, located in historic Point State Park in Downtown Pittsburgh, is a two-floor, 12,000-square-foot museum that presents the story of Western Pennsylvania’s essential role during the French & Indian War, the American Revolution, and as the birthplace of Pittsburgh.",
music&art,What is the Jewish Encyclopedia of Western Pennsylvania?,"An online descriptive record of Jewish history in Western Pennsylvania, covering people, families, organizations, businesses, and events since 1755.","The Jewish Encyclopedia of Western Pennsylvania is a descriptive record of Jewish history in Western Pennsylvania. This online encyclopedia provides basic information about hundreds of Jewish people, families, congregations, organizations, charities, businesses, and events going back to 1755.",
music&art,How was Pittsburgh Opera recognized internationally for its education programs?,"It was a finalist at the 2019 International Opera Awards, the only U.S. opera company among the finalists.",Pittsburgh Opera’s Education programs were recognized as a finalist at the 2019 International Opera Awards. We were the only opera company from the United States among the finalists.,
music&art,What is the recommended starting point for a visit to The Frick Pittsburgh?,Grable Visitor Center,"For the best experience, begin your visit at Grable Visitor Center. A Museum Experience Associate will orient you to our campus and help you purchase day-of tickets, if available.",
music&art,What types of artifact donations does the Heinz History Center seek?,"Artifacts and archival materials related to the history of Western Pennsylvania and the experiences of its people, both past and present.","The Heinz History Center actively seeks artifacts and archival materials related to the history of Western Pennsylvania and the experiences of its people, both past and present.",
music&art,Where can visitors find the Thomas & Katherine Detre Library & Archives?,At the Heinz History Center,The History Center is home to the Thomas & Katherine Detre Library & Archives.,
music&art,Who is the President and CEO of the Carnegie Museums of Pittsburgh?,Steven Knapp,"Steve Knapp, President & Chief Executive Officer of Carnegie Museums of Pittsburgh.",
music&art,What is the mission of the Carnegie Museum?,To preserve and expand the resources of art and science as agents of personal growth and social advancement in Pittsburgh and beyond.,To preserve and expand the resources of art and science as agents of personal growth and social advancement in Pittsburgh and beyond.,
music&art,What makes Pittsburgh’s Cultural District unique compared to other U.S. cities?,"It spans 14 blocks with multiple theaters, galleries, public art, urban parks, and riverfront spaces, holistically developed and curated by a single nonprofit arts organization.","Unlike other cities that house cultural activity within a single performing arts center, Pittsburgh’s Cultural District comprises 14 blocks that were holistically developed with the creation of multiple theaters, art galleries, public art projects, urban parks and riverfront recreation spaces.",
