category,question,reference_answer,support_context_segment
event,When is the Mini-1 Last Day of Classes at CMU?,10-Oct-25,"Mini-1 Last Day of Classes is on October 10, 2025."
event,Which school is presenting 'The House of Bernarda Alba' at CMU?,The School of Drama,"The School of Drama presents “The House of Bernarda Alba” by Federico García Lorca, adapted by Chay Yew and directed by Samantha Pazos at Purnell Center for the Arts, Philip Chosky Theater on October 11, 2025."
event,What activities take place during CMU's Homecoming Weekend?,"CMU Alumni Awards, campus tours, Buggy previews, tailgate, and football game.","Each fall, the CMU community puts on their best Tartan for a weekend of family-friendly activities like the annual CMU Alumni Awards, campus tours, Buggy previews and the tailgate and football game."
event,What happens during CMU's Reunion Weekend?,Alumni celebrate their Reunion year with exclusive events to connect with peers and create new memories during Spring Carnival.,"During Spring Carnival, Tartans celebrating their Reunion year join exclusive events, opportunities to connect — and reconnect — with peers and create new memories at CMU."
food,Are bicycles allowed on Liberty Avenue during the festival?,"On Saturday & Sunday Liberty Ave will be open only to pedestrians, but bike parking will be available at both ends of the festival.","On Saturday & Sunday Liberty Ave will be open only to pedestrians, but biking is a great way to get to the festival and avoid the hassle of parking. Bike parking will be available at both ends of the festival – at Liberty & Aspen and Liberty & Taylor."
food,"Which artist performs at 12:00 p.m. on Sunday, July 13 at Picklesburgh?",Mark Ferrari,12:00 p.m.| Mark Ferrari | Acoustic Rock
food,What is the genre of Bjorn Jacobsen with Robin Chambers’ performance?,Delta Gypsygrass,6:00 p.m.| Bjorn Jacobsen with Robin Chambers | Delta Gypsygrass
food,What is the Miss Little Italy Pageant?,"The Miss Little Italy is a family-oriented festival pageant, celebrating a special Bloomfield tradition.","The Miss Little Italy is a family-oriented festival pageant, celebrating a special Bloomfield tradition."
food,Do contestants need to be of Italian heritage to participate in the Miss Little Italy Pageant?,"No, contestants do not need to be of Italian heritage or reside in the city of Pittsburgh.",Contestants DO NOT need to be of Italian heritage or reside in the city of Pittsburgh.
food,What is included in the Little Italy Days VIP Experience?,"1 Little Italy Days T-Shirt, 1 Slice of Pizza from Caliente Pizza, 1 Bottle of water, VIP Restroom Access, Access to VIP tent for seating near main stage and to relax with shelter from the sun.","VIP Experience Includes:
- 1 Little Italy Days T-Shirt
- 1 Slice of Pizza from Caliente Pizza
- 1 Bottle of water
- VIP Restroom Access
- Access to VIP tent for seating near main stage and to relax with shelter from the sun."
food,In which month has Little Italy Days been held since 2013?,August,"Previously, the event was always held in September, since 2013 it has mooved to August."
food,What event in 2004 commemorated the 100th anniversary of the Banana Split?,the 'From Pitt Came the Split' Event,"In 2004, on the 100th anniversary of the Banana Split, “Ice-Cream Joe” Greubel worked with the University of Pitt to commemorate Strickler’s invention with the “From Pitt Came the Split” Event."
food,When is Pittsburgh Restaurant Week Summer 2025 scheduled?,"August 11-17, 2025",Pittsburgh Restaurant Week Summer 2025 • August 11-17
food,What is the official dessert of Pennsylvania?,the Banana Split,"Today, the Banana Split remains a beloved dessert across the United States and is often found on the menus of ice cream shops and restaurants. It is also the official dessert of Pennsylvania!"
food,When is the Soul Food Festival in Pittsburgh scheduled for 2025?,"August 29 - 31, 2025","**Dates:** August 29 - 31, 2025"
food,Where is the Soul Food Festival held in Pittsburgh?,Stanwix Street and Liberty Avenue in Downtown Pittsburgh,**Location:** Stanwix Street and Liberty Avenue in Downtown Pittsburgh
food,In which year was Pittsburgh’s Soul Food Festival established?,2019,"Established in 2019, this festival honors Pittsburgh's rich history of food service pioneers and entrepreneurs"
food,When is The Original Pittsburgh Taco Festival scheduled for 2025?,6-Sep-25,"### Date

September 6, 2025"
food,How much is general admission to The Original Pittsburgh Taco Festival?,$17.20 ,**General Admission -** $17.20
food,What are the festival hours for Picklesburgh on Friday and Saturday?,Noon – 10 p.m.,Friday & Saturday: Noon – 10 p.m.
food,How much does it cost to attend Picklesburgh?,Admission is free,Admission is always free – no tickets are necessary!
food,Where is Picklesburgh held in Pittsburgh?,"Downtown Pittsburgh, including 6th and 7th Street Bridges, Allegheny Landing, Fort Duquesne Boulevard, PPG Plaza, Market Square, 6th Street and Heinz Hall Garden","Locations: 6th and 7th Street Bridges, Allegheny Landing, Fort Duquesne Boulevard, PPG Plaza, Market Square, 6th Street and Heinz Hall Garden"
food,When is Picklesburgh 2025 scheduled to take place?,"Friday, July 11 – Sunday, July 13, 2025","Friday, July 11 – Sunday, July 13, 2025"
food,Where can attendees find real-time parking information for Picklesburgh?,https://parkpgh.org/,Real-time parking availability all around Downtown: https://parkpgh.org/
food,What kind of music and dance activities are featured at The Original Pittsburgh Taco Festival?,Mariachi performances and salsa dancing lessons,Tap your feet to infectious beats as mariachi performers cultivate a lively ambience during the festival. Elevate your taco-trying experience with a salsa dancing lesson and move through high-energy rhythms.
general_info,Where does Carnegie Mellon University have campuses?,"Carnegie Mellon University has campuses in Pittsburgh, Silicon Valley, Qatar, and Africa.","Carnegie Mellon University has campuses in Pittsburgh, Silicon Valley, Qatar, and Africa."
general_info,How many Nobel Laureates are associated with Carnegie Mellon University?,21,"Presented to CMU faculty and alumni in the fields of Chemistry, Economic Sciences, Peace, Physics and Physiology or Medicine."
general_info,Who served as the ninth president of Carnegie Mellon University from 2013 to 2017?,Subra Suresh,"Subra Suresh served as the ninth president of Carnegie Mellon University from July 1, 2013 until June 30, 2017."
general_info,What unique distinction does Subra Suresh hold among university presidents?,"He is the first and only university president elected to three major National Academies: the National Academy of Medicine, the National Academy of Sciences, and the National Academy of Engineering.","A distinguished engineer and scientist, Suresh was the first and only university president to be elected to three major National Academies — the National Academy of Medicine, the National Academy of Sciences and the National Academy of Engineering."
general_info,What are some annual traditions and activities at Carnegie Mellon University?,"Annual traditions and activities at CMU include Sweepstakes, Scotty Saturday, Greek Sing, the FAIR and Winter FAIR, and performances by the Kiltie Band.",Sweepstakes: CMU students build and race aerodynamic buggies. Scotty Saturday: a daylong celebration with CMU-themed activities. Greek Sing: fraternities and sororities perform musicals for charity. The FAIR and Winter FAIR: explore student organizations and outdoor recreation. Kiltie Band: performs at CMU sporting events.
general_info,What are some annual traditions and activities at Carnegie Mellon University?,"Annual traditions and activities at CMU include Sweepstakes, Scotty Saturday, Greek Sing, the FAIR and Winter FAIR, and performances by the Kiltie Band.",Sweepstakes: CMU students build and race aerodynamic buggies. Scotty Saturday: a daylong celebration with CMU-themed activities. Greek Sing: fraternities and sororities perform musicals for charity. The FAIR and Winter FAIR: explore student organizations and outdoor recreation. Kiltie Band: performs at CMU sporting events.
general_info,When were the first and second tranches of American Rescue Plan funds received by the City of Pittsburgh?,June 2021 and June 2022,
general_info,How long will no appeal operate to suspend the accrual of penalty and interest from the date the tax was due to the date it is actually paid?,Until the tax is actually paid.,
general_info,Who is the current president of Carnegie Mellon University?,Farnam Jahanian,"Farnam Jahanian, President of Carnegie Mellon University, Henry L. Hillman President's Chair."
general_info,"What are Carnegie Mellon University's global ranking, U.S. ranking, and rankings in AI and Computer Science?","CMU is ranked among the top 25 universities in the world, #20 in the U.S., #1 in AI, and #2 in Computer Science in the U.S.",We are ranked one of the top 25 universities in the world by Times Higher Education and #20 in the U.S. by U.S. News & World Report. CMU holds the #1 artificial intelligence program and the #2 computer science program in the U.S.
general_info,When did William Trent begin construction of the first European habitation at present-day Pittsburgh?,"February 17, 1754.","On February 17, 1754, trent began construction of the fort, the first European habitation at the site of present-day pittsburgh."
general_info,What was the name of the fort constructed by the French after destroying the British fort at the forks of the Ohio?,Fort Duquesne.,the french tore down the british fortification and constructed fort duquesne.
general_info,What was Pittsburgh's population in 2010?,"307,484","2010 307,484 61 1,733,853 (ranked 27th, between san antonio and sacramento)"
general_info,What major technology companies have moved to Pittsburgh in recent years?,"Tech giants such as Apple, Google, IBM Watson, Facebook, and Intel have joined the 1,600 technology firms choosing to operate out of Pittsburgh.","Meanwhile, tech giants such as apple, google, ibm watson, facebook, and intel have joined the 1,600 technology firms choosing to operate out of pittsburgh."
general_info,Where was Shannopin's town located and when was it established?,"Shannopin's town was a Lenape village on the east bank of the Allegheny and was established in the 1720s, roughly where Penn Avenue is today, between 30th and 39th streets. It was deserted after 1758.","shannopin's town, a lenape (delaware) village on the east bank of the allegheny, was established in the 1720s and was deserted after 1758. the village is believed to have been roughly from where penn avenue is today, below the mouth of two mile run, from 30th street to 39th street."
general_info,When was Carnegie Mellon University founded?,Carnegie Mellon University was founded in 1900.,Carnegie Mellon University was established in 1900 by Andrew Carnegie.
general_info,When did the production of steel begin in Pittsburgh?,Production of steel began in 1875.,production of steel began in 1875.
general_info,Who was a prominent reformer in Pittsburgh's food industry during the late 19th century?,"Henry J. Heinz, founder of the H.J. Heinz Company, was a prominent reformer in the food industry, advocating for food purity and better working conditions.","During the mid-19th century, Pittsburgh witnessed a dramatic influx of German immigrants, including a brick mason whose son, Henry J. Heinz, founded the H.J. Heinz Company in 1869. Heinz was at the forefront of reform efforts to improve food purity, working conditions, hours, and wages, but the company bitterly opposed the formation of an independent labor union."
general_info,What significant labor conflict occurred in Pittsburgh in 1877?,"The Pittsburgh Railway Riots of 1877 resulted in the deaths of 40 men, mostly workers, and the destruction of over 100 train engines and 1,000 railcars.","During the great railroad strike of 1877, Pittsburgh workers protested and had massive demonstrations that erupted into widespread violence, known as the Pittsburgh railway riots. Militia and federal troops were called to the city to suppress the strike. Forty men died, most of them workers, and more than 40 buildings were burned down, including the union depot of the pennsylvania railroad. Strikers also burned and destroyed rolling stock: more than 100 train engines and 1000 railcars were destroyed. It was the city with the most violence of any affected by the strikes. Burning of pennsylvania railroad and union depot, pittsburgh, july 21–22, 1877"
general_info,When was the Hanger Fort founded?,The Hanger Fort was founded in 1754.,the 'hanger' fort (literally in french: 'storehouse') (a blockhouse) site on redstone creek founded in 1754 on the ford;
music&art,"Where can you see over 4,000 works by Andy Warhol in Pittsburgh?",Andy Warhol Museum,"Andy Warhol Museum, located in North Shore, houses over 4,000 Warhol art works in all media including paintings, drawings, prints, photographs, sculptures, installations, and films."
music&art,What makes Pittsburgh’s Cultural District unique compared to other U.S. cities?,"It spans 14 blocks with multiple theaters, galleries, public art, urban parks, and riverfront spaces, holistically developed and curated by a single nonprofit arts organization.","Unlike other cities that house cultural activity within a single performing arts center, Pittsburgh’s Cultural District comprises 14 blocks that were holistically developed with the creation of multiple theaters, art galleries, public art projects, urban parks and riverfront recreation spaces."
music&art,What is the mission of the Carnegie Museum?,To preserve and expand the resources of art and science as agents of personal growth and social advancement in Pittsburgh and beyond.,To preserve and expand the resources of art and science as agents of personal growth and social advancement in Pittsburgh and beyond.
music&art,Who is the President and CEO of the Carnegie Museums of Pittsburgh?,Steven Knapp,"Steve Knapp, President & Chief Executive Officer of Carnegie Museums of Pittsburgh."
music&art,How can visitors support the Heinz History Center?,"Through fundraising events, commemorative gifts, planned giving, artifact donations, and matching gifts from employers.","Visitors can help sustain the legacy of the History Center in a variety of ways, including fundraising events, commemorative gifts, planned giving, artifact donations, and employer matching gift programs."
music&art,What types of artifact donations does the Heinz History Center seek?,"Artifacts and archival materials related to the history of Western Pennsylvania and the experiences of its people, both past and present.","The Heinz History Center actively seeks artifacts and archival materials related to the history of Western Pennsylvania and the experiences of its people, both past and present."
music&art,What is the recommended starting point for a visit to The Frick Pittsburgh?,Grable Visitor Center,"For the best experience, begin your visit at Grable Visitor Center. A Museum Experience Associate will orient you to our campus and help you purchase day-of tickets, if available."
music&art,How was Pittsburgh Opera recognized internationally for its education programs?,"It was a finalist at the 2019 International Opera Awards, the only U.S. opera company among the finalists.",Pittsburgh Opera’s Education programs were recognized as a finalist at the 2019 International Opera Awards. We were the only opera company from the United States among the finalists.
music&art,What is the Jewish Encyclopedia of Western Pennsylvania?,"An online descriptive record of Jewish history in Western Pennsylvania, covering people, families, organizations, businesses, and events since 1755.","The Jewish Encyclopedia of Western Pennsylvania is a descriptive record of Jewish history in Western Pennsylvania. This online encyclopedia provides basic information about hundreds of Jewish people, families, congregations, organizations, charities, businesses, and events going back to 1755."
music&art,Where is the Fort Pitt Museum located and what does it present?,"Located in historic Point State Park in Downtown Pittsburgh; presents the story of Western Pennsylvania during the French & Indian War, the American Revolution, and as the birthplace of Pittsburgh.","The Fort Pitt Museum, located in historic Point State Park in Downtown Pittsburgh, is a two-floor, 12,000-square-foot museum that presents the story of Western Pennsylvania’s essential role during the French & Indian War, the American Revolution, and as the birthplace of Pittsburgh."
music&art,Which Pittsburgh museum focuses on contemporary Jewish art?,American Jewish Museum,"American Jewish Museum, located in Squirrel Hill, features contemporary Jewish art."
music&art,Where can visitors find the Thomas & Katherine Detre Library & Archives?,At the Heinz History Center,The History Center is home to the Thomas & Katherine Detre Library & Archives.
music&art,What is the Senator John Heinz History Center known for?,"It is Pennsylvania’s largest history museum and a proud affiliate of the Smithsonian Institution, devoted to the history and heritage of Western Pennsylvania.","The Senator John Heinz History Center is Pennsylvania’s largest history museum and a proud affiliate of the Smithsonian Institution. Devoted to the history and heritage of Western Pennsylvania, our family of museums includes the Heinz History Center, Western Pennsylvania Sports Museum, Fort Pitt Museum, and Meadowcroft Rockshelter and Historic Village."
music&art,What is the name of the event taking place at the Heinz History Center on October 16?,Hidden History Trivia Night.,
music&art,What is the mission of the Heinz History Center?,"To engage and inspire audiences through programs that connect the past, present, and future by preserving regional history and presenting the American experience with a Western Pennsylvania connection.","Our mission is to engage and inspire large and diverse audiences through programs that enable links to the past, understanding in the present, and guidance for the future by preserving regional history and presenting the American experience with a Western Pennsylvania connection."
music&art,On which days is The Frick Pittsburgh closed?,"Monday, New Year's Day, Easter, Memorial Day, Juneteenth, Independence Day, Labor Day, Indigenous Peoples' Day, Thanksgiving Day, Christmas Eve, Christmas Day","Monday Closed Closed for New Year's Day, Easter, Memorial Day, Juneteenth, Independence Day, Labor Day, Indigenous Peoples' Day, Thanksgiving Day, Christmas Eve, Christmas Day"
music&art,Is admission to the gardens and permanent collection of The Frick Art Museum free?,Yes,"Admission to the gardens, permanent collection of The Frick Art Museum, and a section of the Car and Carriage Museum is always free."
music&art,Who supports Pittsburgh Opera’s education programs?,Allegheny Regional Assets District and the Pennsylvania Council on the Arts.,Pittsburgh Opera programs are generously supported by Allegheny Regional Assets District and the Pennsylvania Council on the Arts.
music&art,What is required for most Pittsburgh Opera education programs?,Registration in advance.,Please note: Most programs require registration in advance.
music&art,Who should be contacted for more information about Pittsburgh Opera’s Education Programs?,"Marilyn Michalka Egan, Ph.D., Director of Education.","For more information about Pittsburgh Opera’s Education Programs, please email Marilyn Michalka Egan, Ph.D., Director of Education."
sport,What feature of PNC Park honors Roberto Clemente?,"The outfield wall rises up to 21 feet behind right field in honor of the Pirates legendary right fielder #21, Roberto Clemente.","The outfield wall rises up to 21 feet behind right field (in honor of the Pirates legendary right fielder #21, Roberto Clemente) and drops down to just six feet in front of the left field bleachers."
sport,Where do the Pittsburgh Pirates play their home games?,PNC Park,"You can always count on the Pittsburgh Pirates for an exciting summer of baseball! Raise the Jolly Roger at PNC Park, hailed as one of the best ballparks in the country."
sport,Which Pittsburgh sports team has won six Super Bowl titles?,Pittsburgh Steelers,Pittsburgh is officially 'Sixburgh' as the Steelers became the first team in NFL history to win six Super Bowl titles!
sport,Where is The Patio located at PNC Park?,Between the Upper and Lower Bleacher seating areas in left field.,"Located between the Upper and Lower Bleacher seating areas in left field, The Patio is a newly widened and leveled area that extends from the bullpens to the Left Field Rotunda."
sport,Who created the Terrible Towel and why was it first introduced?,"The Terrible Towel was created by Myron Cope, the Pittsburgh Steelers broadcaster, to excite the team's fans during a 1975 playoff football game against the Baltimore Colts.","The Terrible Towel was created by the late Myron Cope, the Pittsburgh Steelers broadcaster who needed a way to excite the team's fans during a 1975 playoff football game against the Baltimore Colts."
sport,"Which organization received the rights to the Terrible Towel in 1996, and how has it benefited them?","The Allegheny Valley School in Coraopolis received the rights, and proceeds from the Terrible Towel have helped raise almost $1.1 million for the school.","In 1996 Mr. Cope gave the rights to 'Myron Cope's Official Terrible Towel' to the Allegheny Valley School in the Pittsburgh suburb of Coraopolis. The school provides care for more than 900 children, adults and senior citizens with mental retardation and physical disabilities. Proceeds from the Terrible Towel have helped raise almost $1.1 million for the school."
sport,Where do the Pittsburgh Riverhounds play their home games?,Highmark Stadium next to Station Square,"Since 1999, the Riverhounds have been Pittsburgh’s pro soccer team. Nicknamed the Hounds, they play their games at Highmark Stadium next to Station Square."
sport,Which Pittsburgh-based team is recognized as a top women's full-contact football franchise?,Pittsburgh Passion,The Pittsburgh Passion Women's Football is the most recognized women's full-contact football franchise in the world. Winner of a National Championship and four Divisional Championships.
sport,Which Pittsburgh university has the only Division I men's lacrosse team between Columbus and State College?,Robert Morris University,"RMU is home to 23 intercollegiate athletic teams at the highest level of collegiate athletics, NCAA Division 1. Teams include the only men's and women's Division I ice hockey squads in the Pittsburgh region and the only Division I men's lacrosse team between Columbus and State College."
sport,Which NHL team from Pittsburgh is listed in the Metropolitan Division?,Pittsburgh Penguins,"Pittsburgh Penguins logo
Pittsburgh Penguins
north_east
Roster
Schedule
Tickets"
sport,Which divisions make up the Eastern Conference in the NHL according to the list?,Metropolitan and Atlantic,"Eastern Conference
Metropolitan
...Atlantic
Boston Bruins logo
Boston Bruins
north_east
Roster
Schedule
Tickets"
sport,Where is the Pittsburgh Steelers Hall of Honor Dinner held?,Acrisure Stadium,"Our annual Hall of Honor Dinner, presented by U.S. Steel, will celebrate the induction of this year's Hall of Honor class during a special ceremony at Acrisure Stadium."
sport,Which Steelers players from the 2025 Hall of Honor class were part of Super Bowl seasons?,"Maurkice Pouncey, Joey Porter, and Ben Roethlisberger","The 2025 Class includes three individuals who were part of Super Bowl seasons for the Steelers - center Maurkice Pouncey, linebacker Joey Porter, and quarterback Ben Roethlisberger."
sport,What does a Pittsburgh Steelers High School Coach of the Week receive?,"A framed certificate signed by NFL Commissioner Roger Goodell and Head Coach Mike Tomlin; a Steelers Coach of the Week cap; and a $1,000 donation to their football program.","The Coach of the Week winners are invited to be honored at a Steelers home game and receive a framed certificate signed by NFL Commissioner Roger Goodell and Head Coach Mike Tomlin; a Steelers Coach of the Week cap; and a $1,000 donation to their football program."
sport,Which position did Antonio Brown play when he won the Steelers team MVP award?,WR,2011 | Antonio Brown | WR
sport,Who won the Pittsburgh Steelers team MVP award in 2024?,T.J. Watt,2024 | T.J. Watt | LB
sport,Who serves as the pitching coach for the Pittsburgh Pirates?,Oscar Marin,| Oscar Marin 47 Pitching Coach | Pitching Coach
sport,Who is the manager of the Pittsburgh Pirates?,Don Kelly,| Don Kelly 12 Manager | Manager
sport,Where is PPG Paints Arena located?,"PPG Paints Arena is located at 1001 Fifth Ave., Pittsburgh, Pennsylvania 15219.",
sport,What is the name of the Pittsburgh Steelers' mascot?,Steely McBeam,
